bid,rating,user
3780,1,fabien
4417,1,fabien
4150,1,fabien
197,0,fabien
4738,1,fabien
2707,0,fabien
4658,0,fabien
61,1,fabien
310,0,fabien
1964,0,fabien
533,1,fabien
2614,1,fabien
4400,1,fabien
3507,1,fabien
1254,0,fabien
3950,0,fabien
1149,1,fabien
2299,0,fabien
2006,0,fabien
1583,0,fabien
3410,0,fabien
718,1,fabien
4674,1,fabien
4571,1,fabien
3854,1,fabien
1034,1,fabien
4363,1,fabien
2671,1,fabien
746,0,fabien
650,0,fabien
3216,1,fabien
3768,0,fabien
3133,1,fabien
571,0,fabien
2783,1,fabien
266,1,fabien
196,1,franko
805,1,franko
1744,0,franko
4738,0,franko
2671,0,franko
4585,0,franko
849,0,franko
1195,0,franko
3528,1,franko
1826,1,franko
2523,0,franko
3216,0,franko
1255,0,franko
1034,1,franko
3410,0,franko
37,0,franko
4,1,franko
109,0,franko
577,0,franko
4571,0,franko
2185,0,franko
4363,0,franko
2918,0,franko
538,0,franko
3927,0,franko
4400,0,franko
1254,0,franko
3768,0,franko
4632,0,franko
1655,0,franko
1250,0,franko
568,0,franko
2475,0,franko
745,0,franko
4417,0,franko
3566,0,franko
4569,0,franko
2696,0,franko
650,0,franko
3133,0,franko
3605,0,franko
1231,0,franko
1636,1,franko
2927,0,franko
1459,1,franko
310,0,franko
1095,1,franko
3507,1,franko
701,0,franko
156,0,franko
1210,0,franko
17,0,franko
5,0,franko
4646,0,franko
4672,0,franko
3189,0,franko
2734,0,franko
3950,0,franko
815,0,franko
698,0,franko
61,1,franko
9,1,franko
571,0,franko
4510,0,franko
179,1,franko
378,1,franko
1528,0,franko
2707,0,franko
1733,0,franko
197,1,franko
4658,0,franko
1552,0,franko
2711,0,franko
2783,1,franko
2614,0,franko
533,1,franko
4459,0,franko
746,0,franko
4677,1,franko
2006,1,franko
2910,0,franko
1149,1,franko
1925,1,franko
4674,1,franko
2270,0,franko
18,1,franko
1964,0,franko
4150,1,franko
3854,1,franko
522,0,franko
3732,1,franko
642,0,franko
1583,0,franko
266,1,franko
3780,0,franko
718,1,franko
583,0,franko
723,1,franko
999,0,franko
2299,0,franko
1095,1,james
37,1,james
9,1,james
109,1,james
3950,0,james
310,0,james
1552,0,james
2711,0,james
2927,0,james
3780,1,james
4417,1,james
1744,0,james
5,0,james
4585,0,james
1231,1,james
1583,0,james
805,0,james
266,1,james
999,0,james
378,1,james
746,0,james
698,0,james
1254,0,james
533,1,james
2523,0,james
4738,1,james
196,0,james
18,0,james
745,0,james
1255,0,james
2783,1,james
3133,1,james
4674,1,james
2299,0,james
2614,1,james
4459,0,james
2707,0,james
1964,0,james
156,0,james
2734,1,james
1459,1,james
1733,0,james
1034,1,james
522,1,james
3927,0,james
3410,0,james
1195,1,james
4658,0,james
4569,0,james
3507,1,james
3528,1,james
1925,1,james
4150,1,james
1528,0,james
568,0,james
2270,1,james
701,0,james
1655,0,james
2475,0,james
2696,1,james
179,1,james
4363,1,james
2910,0,james
4571,0,james
61,1,james
650,1,james
2006,0,james
197,0,james
642,0,james
1636,1,james
3216,1,james
3189,0,james
1149,0,james
17,0,james
1210,0,james
1250,0,james
2185,1,james
577,0,james
718,1,james
3854,1,james
4400,0,james
815,0,james
4510,1,james
571,0,james
3732,0,james
2918,1,james
1826,1,james
538,0,james
3768,0,james
4,1,james
723,0,james
583,0,james
3566,0,james
4677,0,james
4646,0,james
849,1,james
3605,1,james
4672,1,james
2671,0,james
4632,1,james
1744,0,jared
4400,1,jared
999,0,jared
4417,1,jared
577,1,jared
1210,1,jared
3732,1,jared
1636,1,jared
815,0,jared
109,1,jared
3768,1,jared
2707,1,jared
1552,1,jared
3854,0,jared
4585,0,jared
4,1,jared
196,1,jared
1095,1,jared
9,1,jared
2006,0,jared
2299,0,jared
2671,1,jared
2270,1,jared
2918,1,jared
310,0,jared
1034,1,jared
2475,0,jared
1149,1,jared
4646,1,jared
3133,1,jared
3528,1,jared
1925,1,jared
37,1,jared
179,1,jared
1583,0,jared
3410,0,jared
2910,0,jared
533,1,jared
1195,1,jared
1459,1,jared
4632,1,jared
17,1,jared
156,0,jared
4571,1,jared
1655,0,jared
1250,0,jared
698,1,jared
4569,1,jared
3605,0,jared
3780,0,jared
1964,0,jared
2614,1,jared
2783,1,jared
3950,1,jared
197,1,jared
3216,1,jared
3507,1,jared
4738,1,jared
3566,0,jared
571,0,jared
4677,1,jared
4459,1,jared
583,0,jared
2185,1,jared
18,1,jared
568,0,jared
266,1,jared
4150,1,jared
4510,0,jared
849,0,jared
522,1,jared
1733,0,jared
4674,1,jared
1231,1,jared
745,0,jared
1528,1,jared
805,1,jared
718,1,jared
538,1,jared
1255,0,jared
378,1,jared
1254,0,jared
2711,0,jared
650,0,jared
61,1,jared
1826,1,jared
746,0,jared
3927,0,jared
723,1,jared
701,0,jared
2927,0,jared
2734,1,jared
2696,0,jared
642,0,jared
3189,0,jared
4672,1,jared
5,0,jared
4363,1,jared
4658,0,jared
2523,1,jared
4646,0,max
3507,1,max
1195,1,max
310,0,max
2918,1,max
2711,0,max
2734,0,max
1210,0,max
1459,1,max
1826,1,max
2927,0,max
1149,0,max
849,0,max
4150,1,max
1095,0,max
1255,1,max
723,0,max
3780,0,max
718,1,max
18,1,max
2006,0,max
2696,0,max
1744,0,max
3566,0,max
4738,0,max
1636,1,max
4510,1,max
2783,1,max
4571,0,max
2671,0,max
3189,0,max
5,0,max
1528,1,max
745,0,max
701,1,max
642,0,max
650,1,max
2707,1,max
815,0,max
17,1,max
3216,0,max
3605,0,max
4658,1,max
4,1,max
4417,1,max
3133,0,max
156,0,max
3410,0,max
2910,0,max
4459,0,max
378,0,max
4400,1,max
746,0,max
3854,1,max
3528,0,max
4674,0,max
568,1,max
4569,0,max
2475,0,max
805,1,max
197,0,max
109,1,max
571,0,max
4672,0,max
522,1,max
1925,1,max
577,1,max
3768,0,max
1034,1,max
3927,0,max
2299,0,max
196,0,max
2270,1,max
2523,0,max
3950,0,max
1231,0,max
179,1,max
266,0,max
2185,0,max
2614,1,max
1964,0,max
583,0,max
1733,0,max
538,0,max
37,0,max
999,0,max
4585,0,max
1254,0,max
1655,0,max
533,1,max
1552,1,max
698,0,max
3732,1,max
9,0,max
4632,0,max
4363,0,max
1250,0,max
1583,0,max
61,0,max
4677,0,max
5,0,meghan
3927,0,meghan
2006,1,meghan
179,1,meghan
4417,1,meghan
4658,1,meghan
2696,1,meghan
642,0,meghan
2918,1,meghan
577,0,meghan
4459,1,meghan
1250,0,meghan
3780,0,meghan
1583,0,meghan
522,1,meghan
4585,0,meghan
1636,0,meghan
1034,0,meghan
4363,1,meghan
746,0,meghan
37,0,meghan
533,1,meghan
3605,0,meghan
109,1,meghan
1231,0,meghan
723,1,meghan
1964,0,meghan
3133,0,meghan
3950,0,meghan
815,0,meghan
1210,0,meghan
3566,0,meghan
2270,1,meghan
698,1,meghan
61,1,meghan
1744,0,meghan
999,0,meghan
4672,0,meghan
266,1,meghan
2734,1,meghan
2523,0,meghan
1733,0,meghan
3507,1,meghan
2707,0,meghan
1195,1,meghan
1925,1,meghan
197,1,meghan
1095,1,meghan
718,1,meghan
4510,0,meghan
4738,1,meghan
4150,1,meghan
3854,1,meghan
4569,1,meghan
538,1,meghan
3732,1,meghan
196,0,meghan
805,1,meghan
1655,0,meghan
1149,1,meghan
3528,1,meghan
2927,0,meghan
4632,1,meghan
650,1,meghan
849,1,meghan
3768,0,meghan
156,1,meghan
2671,0,meghan
3189,0,meghan
378,1,meghan
701,0,meghan
583,0,meghan
4,1,meghan
571,0,meghan
1528,0,meghan
4677,1,meghan
1255,1,meghan
3216,1,meghan
17,0,meghan
4646,0,meghan
4400,0,meghan
2185,0,meghan
4571,1,meghan
1254,0,meghan
745,0,meghan
2299,0,meghan
3410,0,meghan
9,1,meghan
1459,1,meghan
4674,1,meghan
568,1,meghan
1826,1,meghan
18,1,meghan
2475,0,meghan
2614,1,meghan
310,0,meghan
1552,0,meghan
2910,0,meghan
2783,1,meghan
2711,0,meghan
1095,1,Ninke
1149,1,Ninke
2707,0,Ninke
4510,0,Ninke
577,1,Ninke
1826,1,Ninke
1655,0,Ninke
1250,1,Ninke
2523,0,Ninke
701,1,Ninke
642,0,Ninke
2270,1,Ninke
4,1,Ninke
4400,0,Ninke
2671,1,Ninke
1733,0,Ninke
2185,0,Ninke
3528,1,Ninke
3780,1,Ninke
3927,1,Ninke
3507,1,Ninke
4363,1,Ninke
61,1,Ninke
1583,0,Ninke
650,1,Ninke
3566,0,Ninke
571,0,Ninke
4459,1,Ninke
4672,0,Ninke
197,1,Ninke
4646,0,Ninke
805,1,Ninke
2734,0,Ninke
5,0,Ninke
568,0,Ninke
849,0,Ninke
310,0,Ninke
4417,0,Ninke
1254,0,Ninke
4674,1,Ninke
4677,1,Ninke
1255,1,Ninke
4738,1,Ninke
179,1,Ninke
3768,0,Ninke
538,0,Ninke
3605,0,Ninke
9,1,Ninke
2614,1,Ninke
3216,0,Ninke
1636,1,Ninke
815,0,Ninke
4632,0,Ninke
2711,0,Ninke
4571,0,Ninke
2475,0,Ninke
378,1,Ninke
698,0,Ninke
37,0,Ninke
1552,0,Ninke
2299,0,Ninke
1964,0,Ninke
2783,1,Ninke
999,0,Ninke
109,0,Ninke
1231,1,Ninke
1195,0,Ninke
1528,0,Ninke
4658,0,Ninke
3950,0,Ninke
1744,0,Ninke
3732,1,Ninke
4569,0,Ninke
3854,1,Ninke
2006,0,Ninke
17,0,Ninke
4585,0,Ninke
3133,1,Ninke
723,1,Ninke
1459,1,Ninke
2696,0,Ninke
4150,1,Ninke
3410,0,Ninke
2910,0,Ninke
2918,0,Ninke
2927,0,Ninke
583,0,Ninke
196,0,Ninke
1925,0,Ninke
1034,0,Ninke
533,0,Ninke
522,1,Ninke
746,0,Ninke
745,0,Ninke
156,1,Ninke
718,1,Ninke
18,0,Ninke
266,1,Ninke
3189,0,Ninke
1210,0,Ninke
4459,1,stransky
109,1,stransky
642,1,stransky
698,1,stransky
2711,0,stransky
1733,0,stransky
3780,1,stransky
1826,1,stransky
3950,0,stransky
538,1,stransky
571,0,stransky
179,1,stransky
378,1,stransky
2734,1,stransky
2614,1,stransky
2185,0,stransky
4632,1,stransky
61,1,stransky
197,1,stransky
723,0,stransky
3732,0,stransky
2475,0,stransky
1744,0,stransky
3133,1,stransky
9,1,stransky
3854,1,stransky
1255,1,stransky
4400,1,stransky
2270,0,stransky
2918,0,stransky
745,0,stransky
3410,0,stransky
4150,1,stransky
4674,1,stransky
2696,1,stransky
1528,0,stransky
4417,1,stransky
568,1,stransky
2523,0,stransky
4585,0,stransky
1210,0,stransky
17,0,stransky
746,1,stransky
4363,1,stransky
3216,1,stransky
37,1,stransky
4569,1,stransky
4571,0,stransky
4672,1,stransky
1925,1,stransky
2299,0,stransky
4658,0,stransky
3507,1,stransky
583,0,stransky
2927,0,stransky
3605,0,stransky
1095,0,stransky
3768,0,stransky
1964,0,stransky
522,1,stransky
266,1,stransky
3189,0,stransky
310,0,stransky
1655,0,stransky
5,0,stransky
2783,1,stransky
2006,0,stransky
18,1,stransky
1552,0,stransky
4646,0,stransky
1149,1,stransky
1034,1,stransky
4,1,stransky
2671,1,stransky
3566,0,stransky
533,1,stransky
805,0,stransky
3927,1,stransky
1636,1,stransky
1195,1,stransky
718,1,stransky
577,0,stransky
1254,0,stransky
3528,1,stransky
849,0,stransky
2910,0,stransky
1583,0,stransky
650,1,stransky
999,0,stransky
196,1,stransky
1459,1,stransky
1231,1,stransky
815,1,stransky
1250,0,stransky
2707,0,stransky
4510,0,stransky
4677,1,stransky
156,1,stransky
701,0,stransky
4738,0,stransky
